ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	131	0	0	0.000000	2.832061	2.832061	0.000000	0.000000	0	0	0
2	1	4	2	0.000000	89.000000	40.000000	0.000000	0.000000	0	0	0
3	2	3	1	0.000000	80.000000	35.000000	0.000000	0.000000	0	0	0
4	1	1	1	0.000000	76.000000	34.000000	0.000000	0.000000	0	0	0
5	1	1	4	0.000000	82.000000	34.000000	0.000000	0.000000	0	0	0
6	1	3	3	0.000000	85.000000	41.000000	0.000000	0.000000	0	0	0
7	1	4	2	0.000000	79.000000	62.000000	0.000000	0.000000	0	0	0
8	1	6	1	0.000000	45.000000	33.000000	0.000000	0.000000	0	0	0
9	9	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
10	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
11	2	2	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
12	16	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
13	26	1	2	0.000000	1.076923	1.076923	0.000000	0.000000	0	0	0
14	2	2	1	0.000000	75.500000	20.000000	0.000000	0.000000	0	0	0
15	1	4	4	0.000000	66.000000	37.000000	0.000000	0.000000	0	0	0
16	2	2	1	0.000000	51.500000	24.000000	0.000000	0.000000	0	0	0
17	1	2	1	0.000000	49.000000	22.000000	0.000000	0.000000	0	0	0
18	1	3	1	0.000000	48.000000	22.000000	0.000000	0.000000	0	0	0
19	1	2	3	0.000000	49.000000	18.000000	0.000000	0.000000	0	0	0
20	1	3	3	0.000000	50.000000	14.000000	0.000000	0.000000	0	0	0
21	4	1	1	0.000000	34.000000	7.500000	0.000000	0.000000	0	0	0
22	1	1	2	0.000000	34.000000	6.000000	0.000000	0.000000	0	0	0
23	1	4	3	0.000000	45.000000	7.000000	0.000000	0.000000	0	0	0
24	1	2	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
25	2	1	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
26	1	1	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
27	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
28	1	2	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
29	2	1	2	0.000000	8.000000	3.500000	0.000000	0.000000	0	0	0
30	263	0	0	0.000000	1.688213	1.688213	0.000000	0.000000	0	0	0
31	91	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
32	58	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
33	130	0	0	0.000000	1.346154	1.346154	0.000000	0.000000	0	0	0
34	137	0	0	0.000000	1.897810	1.897810	0.000000	0.000000	0	0	0
35	2	2	1	0.000000	4.500000	2.000000	0.000000	0.000000	0	0	0
36	11	2	1	0.000000	3.909091	1.909091	0.000000	0.000000	0	0	0
37	11	2	1	0.000000	4.727273	2.272727	0.000000	0.000000	0	0	0
38	42	1	3	0.000000	3.071429	2.547619	0.000000	0.000000	0	0	0
39	197	0	0	0.000000	1.918782	1.918782	0.000000	0.000000	0	0	0
40	74	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
41	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
42	255	0	0	0.000000	1.811765	1.811765	0.000000	0.000000	0	0	0
43	100	2	0	0.000000	1.600000	1.600000	0.000000	0.000000	0	0	0
44	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
45	94	0	2	0.000000	2.223404	2.223404	0.000000	0.000000	0	0	0
46	110	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
47	130	0	0	0.000000	1.161538	1.161538	0.000000	0.000000	0	0	0
48	1	2	1	0.000000	12.000000	12.000000	0.000000	0.000000	0	0	0
49	1	2	1	0.000000	8.000000	8.000000	0.000000	0.000000	0	0	0
50	3	2	1	0.000000	5.666667	5.666667	0.000000	0.000000	0	0	0
51	1	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
52	4	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
53	1	2	2	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
54	206	0	1	0.000000	1.257282	1.257282	0.000000	0.000000	0	0	0
55	48	1	0	0.000000	1.479167	1.479167	0.000000	0.000000	0	0	0
56	1	1	2	0.000000	18.000000	17.000000	0.000000	0.000000	0	0	0
57	2	3	2	0.000000	26.000000	25.000000	0.000000	0.000000	0	0	0
58	0	2	1	Inf	Inf	Inf	Inf	Inf	0	0	0
59	2	2	3	0.000000	10.000000	7.000000	0.000000	0.000000	0	0	0
60	2	3	1	0.000000	8.000000	5.000000	0.000000	0.000000	0	0	0
61	1	1	2	0.000000	41.000000	6.000000	0.000000	0.000000	0	0	0
62	5	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
63	3	2	2	0.000000	5.000000	5.000000	0.000000	0.000000	0	0	0
64	44	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
65	211	0	0	0.000000	2.464455	2.464455	0.000000	0.000000	0	0	0
66	288	0	0	0.000000	1.354167	1.354167	0.000000	0.000000	0	0	0
67	51	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
68	145	0	0	0.000000	2.993103	2.993103	0.000000	0.000000	0	0	0
69	130	0	0	0.000000	1.638462	1.638462	0.000000	0.000000	0	0	0
70	130	0	0	0.000000	1.384615	1.384615	0.000000	0.000000	0	0	0
71	125	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
72	235	0	0	0.000000	1.106383	1.106383	0.000000	0.000000	0	0	0
73	153	0	0	0.000000	2.411765	2.411765	0.000000	0.000000	0	0	0
74	424	0	0	0.000000	1.429245	1.356132	0.000000	0.000000	0	0	0
75	10	2	1	0.000000	5.900000	5.900000	0.000000	0.000000	0	0	0
76	33	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
77	7	1	2	0.000000	4.571429	2.000000	0.000000	0.000000	0	0	0
78	4	2	2	0.000000	6.000000	5.000000	0.000000	0.000000	0	0	0
79	13	2	1	0.000000	6.230769	3.846154	0.000000	0.000000	0	0	0
80	2	1	1	0.000000	6.500000	2.000000	0.000000	0.000000	0	0	0
81	450	0	0	0.000000	1.366667	1.366667	0.000000	0.000000	0	0	0
82	118	0	0	0.000000	1.711864	1.533898	0.000000	0.000000	0	0	0
83	170	0	0	0.000000	2.111765	2.111765	0.000000	0.000000	0	0	0
84	238	0	0	0.000000	1.218487	1.218487	0.000000	0.000000	0	0	0
85	237	0	0	0.000000	1.215190	1.215190	0.000000	0.000000	0	0	0
86	317	0	0	0.000000	1.230284	1.230284	0.000000	0.000000	0	0	0
87	112	0	0	0.000000	1.812500	1.812500	0.000000	0.000000	0	0	0
88	146	0	0	0.000000	1.780822	1.780822	0.000000	0.000000	0	0	0
89	114	1	0	0.000000	1.315789	1.315789	0.000000	0.000000	0	0	0
90	47	0	2	0.000000	1.468085	1.468085	0.000000	0.000000	0	0	0
91	130	0	0	0.000000	1.269231	1.269231	0.000000	0.000000	0	0	0
92	101	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
93	82	0	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
94	203	0	0	0.000000	1.729064	1.729064	0.000000	0.000000	0	0	0
95	326	0	0	0.000000	1.819018	1.819018	0.000000	0.000000	0	0	0
96	130	0	0	0.000000	1.069231	1.069231	0.000000	0.000000	0	0	0
97	21	1	1	0.000000	1.428571	1.428571	0.000000	0.000000	0	0	0
98	1	1	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
99	1	2	5	0.000000	81.000000	32.000000	0.000000	0.000000	0	0	0
100	2	1	1	0.000000	6.000000	4.000000	0.000000	0.000000	0	0	0
101	3	4	3	0.000000	8.000000	5.000000	0.000000	0.000000	0	0	0
102	35	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
103	1	2	2	0.000000	38.000000	4.000000	0.000000	0.000000	0	0	0
104	1	3	2	0.000000	76.000000	20.000000	0.000000	0.000000	0	0	0
105	1	4	2	0.000000	78.000000	15.000000	0.000000	0.000000	0	0	0
106	283	0	0	0.000000	1.484099	1.484099	0.000000	0.000000	0	0	0
107	71	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
108	72	2	0	0.000000	3.500000	3.500000	0.000000	0.000000	0	0	0
109	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
110	61	0	2	0.000000	2.409836	2.409836	0.000000	0.000000	0	0	0
111	11	3	1	0.000000	15.818182	7.909091	0.000000	0.000000	0	0	0
112	3	2	1	0.000000	12.000000	8.000000	0.000000	0.000000	0	0	0
113	2	2	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
114	63	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
115	1	1	1	0.000000	14.000000	10.000000	0.000000	0.000000	0	0	0
116	4	1	1	0.000000	14.000000	10.000000	0.000000	0.000000	0	0	0
117	1	2	2	0.000000	13.000000	6.000000	0.000000	0.000000	0	0	0
118	36	2	1	0.000000	6.333333	3.916667	0.000000	0.000000	0	0	0
119	130	0	0	0.000000	1.661538	1.661538	0.000000	0.000000	0	0	0
120	366	0	0	0.000000	1.707650	1.707650	0.000000	0.000000	0	0	0
121	130	0	0	0.000000	1.276923	1.276923	0.000000	0.000000	0	0	0
122	173	0	0	0.000000	3.572254	2.780347	0.000000	0.000000	0	0	0
123	86	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
124	108	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
125	130	0	0	0.000000	1.984615	1.984615	0.000000	0.000000	0	0	0
126	1	1	1	0.000000	6.000000	2.000000	0.000000	0.000000	0	0	0
127	1	1	2	0.000000	9.000000	5.000000	0.000000	0.000000	0	0	0
128	1	1	3	0.000000	12.000000	8.000000	0.000000	0.000000	0	0	0
129	2	2	3	0.000000	16.000000	11.500000	0.000000	0.000000	0	0	0
130	2	2	1	0.000000	15.500000	4.500000	0.000000	0.000000	0	0	0
131	1	6	1	0.000000	53.000000	10.000000	0.000000	0.000000	0	0	0
132	1	2	2	0.000000	18.000000	7.000000	0.000000	0.000000	0	0	0
133	4	2	2	0.000000	16.500000	4.750000	0.000000	0.000000	0	0	0
134	5	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
135	1	1	2	0.000000	21.000000	16.000000	0.000000	0.000000	0	0	0
136	1	2	1	0.000000	21.000000	15.000000	0.000000	0.000000	0	0	0
137	4	2	1	0.000000	20.500000	15.000000	0.000000	0.000000	0	0	0
138	1	2	1	0.000000	20.000000	18.000000	0.000000	0.000000	0	0	0
139	1	1	1	0.000000	16.000000	16.000000	0.000000	0.000000	0	0	0
140	2	4	1	0.000000	48.000000	7.000000	0.000000	0.000000	0	0	0
141	1	1	2	0.000000	33.000000	4.000000	0.000000	0.000000	0	0	0
142	1	2	5	0.000000	38.000000	4.000000	0.000000	0.000000	0	0	0
