ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	108	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
2	337	0	0	0.000000	1.157270	1.157270	0.000000	0.000000	0	0	0
3	180	0	0	0.000000	1.444444	1.444444	0.000000	0.000000	0	0	0
4	158	0	0	0.000000	1.645570	1.645570	0.000000	0.000000	0	0	0
5	253	0	0	0.000000	1.023715	1.023715	0.000000	0.000000	0	0	0
6	153	0	0	0.000000	2.464052	2.464052	0.000000	0.000000	0	0	0
7	130	0	0	0.000000	1.138462	1.138462	0.000000	0.000000	0	0	0
8	184	0	0	0.000000	1.413043	1.413043	0.000000	0.000000	0	0	0
9	130	0	0	0.000000	1.607692	1.607692	0.000000	0.000000	0	0	0
10	130	0	0	0.000000	2.330769	2.330769	0.000000	0.000000	0	0	0
11	130	0	0	0.000000	1.415385	1.415385	0.000000	0.000000	0	0	0
12	356	0	0	0.000000	1.825843	1.825843	0.000000	0.000000	0	0	0
13	130	0	0	0.000000	1.146154	1.146154	0.000000	0.000000	0	0	0
14	203	0	0	0.000000	1.280788	1.280788	0.000000	0.000000	0	0	0
15	242	0	0	0.000000	1.008264	1.008264	0.000000	0.000000	0	0	0
16	130	0	0	0.000000	1.684615	1.684615	0.000000	0.000000	0	0	0
17	225	0	0	0.000000	1.733333	1.733333	0.000000	0.000000	0	0	0
18	237	0	0	0.000000	1.831224	1.831224	0.000000	0.000000	0	0	0
19	130	0	0	0.000000	1.792308	1.792308	0.000000	0.000000	0	0	0
20	141	0	0	0.000000	1.843972	1.695035	0.000000	0.000000	0	0	0
21	353	0	0	0.000000	1.801700	1.801700	0.000000	0.000000	0	0	0
22	54	2	0	0.000000	1.666667	1.666667	0.000000	0.000000	0	0	0
23	21	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
24	55	0	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
25	130	0	0	0.000000	1.661538	1.661538	0.000000	0.000000	0	0	0
26	210	0	0	0.000000	1.857143	1.857143	0.000000	0.000000	0	0	0
27	130	0	0	0.000000	1.669231	1.669231	0.000000	0.000000	0	0	0
28	174	0	0	0.000000	1.752874	1.752874	0.000000	0.000000	0	0	0
29	134	0	0	0.000000	1.940299	1.940299	0.000000	0.000000	0	0	0
30	161	0	0	0.000000	2.329193	2.155280	0.000000	0.000000	0	0	0
31	158	0	0	0.000000	1.645570	1.645570	0.000000	0.000000	0	0	0
32	130	0	0	0.000000	1.184615	1.184615	0.000000	0.000000	0	0	0
33	279	0	0	0.000000	1.397849	1.397849	0.000000	0.000000	0	0	0
34	237	0	0	0.000000	1.097046	1.097046	0.000000	0.000000	0	0	0
35	244	0	0	0.000000	1.536885	1.536885	0.000000	0.000000	0	0	0
36	130	0	0	0.000000	1.553846	1.553846	0.000000	0.000000	0	0	0
37	130	0	0	0.000000	1.715385	1.715385	0.000000	0.000000	0	0	0
38	84	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
39	108	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
40	131	0	0	0.000000	1.984733	1.984733	0.000000	0.000000	0	0	0
41	130	0	0	0.000000	1.215385	1.215385	0.000000	0.000000	0	0	0
42	68	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
43	95	0	0	0.000000	1.778947	1.778947	0.000000	0.000000	0	0	0
44	130	0	0	0.000000	1.961538	1.961538	0.000000	0.000000	0	0	0
45	218	0	0	0.000000	1.192661	1.192661	0.000000	0.000000	0	0	0
46	184	0	0	0.000000	2.119565	2.119565	0.000000	0.000000	0	0	0
47	125	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
48	130	0	0	0.000000	1.830769	1.830769	0.000000	0.000000	0	0	0
49	270	0	0	0.000000	1.955556	1.955556	0.000000	0.000000	0	0	0
50	183	0	0	0.000000	1.420765	1.420765	0.000000	0.000000	0	0	0
51	177	0	0	0.000000	1.966102	1.966102	0.000000	0.000000	0	0	0
52	130	0	0	0.000000	1.484615	1.484615	0.000000	0.000000	0	0	0
53	144	0	0	0.000000	2.708333	2.708333	0.000000	0.000000	0	0	0
54	130	0	0	0.000000	1.976923	1.976923	0.000000	0.000000	0	0	0
55	130	0	0	0.000000	1.707692	1.707692	0.000000	0.000000	0	0	0
56	130	0	0	0.000000	1.792308	1.792308	0.000000	0.000000	0	0	0
57	237	0	0	0.000000	1.097046	1.097046	0.000000	0.000000	0	0	0
58	121	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
59	372	0	0	0.000000	2.086022	2.086022	0.000000	0.000000	0	0	0
